observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-05T21:46:00Z,rO6llkc54NcC,生物の探索行動と建設行動のパターン形成アルゴリズムに関する研究,水元惟暁,"(No Title), 2018",2018,0
2026-08-05T21:46:00Z,RYcK_YlVTxYC,シロアリのオスによる同性ペアの機能と意義の解明,水元惟暁,"昆虫と自然/昆虫と自然編集委員会 編 53 (2), 9-12, 図巻頭 1p, 2018",2018,0
2026-08-05T21:46:00Z,O3NaXMp0MMsC,自己組織化から拓く社会性昆虫の生態学,水元惟暁， 土畑重人,"日本ロボット学会誌 35 (6), 448-454, 2017",2017,0
2026-08-05T21:46:00Z,ns9cj8rnVeAC,シロアリの構造物形成の自己組織化研究: ヤマトシロアリの蟻道建設におけるコロニー特異性,水元惟暁,"しろあり= Termite journal, 21-25, 2015",2015,0
2026-08-05T21:46:00Z,d1gkVwhDpl0C,Emergence of colony-specific architectures in termite shelter-tube construction,"N Mizumoto, K Kobayashi, K Matsuura","IUSSI, 2014",2014,0
2026-08-07T13:40:58Z,4fKUyHm3Qg0C,Genomic data provide insights into the classification of extant termites,"S Hellemans, MM Rocha, M Wang, J Romero Arias, DK Aanen, ...","Nature Communications 15 (1), 6724, 2024",2024,89
2026-08-07T13:40:58Z,NaGl4SEjCO4C,A genomic imprinting model of termite caste determination: not genetic but epigenetic inheritance influences offspring caste fate,"K Matsuura, N Mizumoto, K Kobayashi, T Nozaki, T Fujita, T Yashiro, ...","The American Naturalist 191 (6), 677-690, 2018",2018,68
2026-08-07T13:40:58Z,NMxIlDl6LWMC,Anomalous diffusion on the servosphere: A potential tool for detecting inherent organismal movement patterns,"N Nagaya, N Mizumoto, MS Abe, S Dobata, R Sato, R Fujisawa","PloS one 12 (6), e0177480, 2017",2017,52
2026-08-07T13:40:58Z,4OULZ7Gr8RgC,Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus,"Y Mitaka, S Matsuyama, N Mizumoto, K Matsuura, T Akino","Scientific reports 10 (1), 7424, 2020",2020,50
2026-08-07T13:40:58Z,J_g5lzvAfSwC,Adaptive switch to sexually dimorphic movements by partner-seeking termites,"N Mizumoto, S Dobata","Science advances 5 (6), eaau6108, 2019",2019,45
2026-08-07T13:40:58Z,xtRiw3GOFMkC,"Molecular phylogeny reveals the past transoceanic voyages of drywood termites (Isoptera, Kalotermitidae)","A Buček, M Wang, J Šobotník, S Hellemans, D Sillam-Dussès, ...","Molecular Biology and Evolution 39 (5), msac093, 2022",2022,42
2026-08-07T13:40:58Z,cFHS6HbyZ2cC,Complex relationship between tunneling patterns and individual behaviors in termites,"N Mizumoto, PM Bardunias, SC Pratt","The American Naturalist 196 (5), 555-565, 2020",2020,42
